,Family_History_Treatment,Imm_reason_text,Immigration-Treatmen,Partisan priming,Coerced,Family1_vs_NoFamily0,Slavery1_vs_NoSlavery0,Negative-1_Neutral0_Positive1,Native1_vs_NoNative0,Nonsense
3776,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
3778,1,Education,My generation,0,0,0,0,0,0,0
3779,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
3780,1,Better education,My great-grandparents' generation,0,0,0,0,1,0,0
3782,1,"They came for a better life, job opportunities, to start a career",My great-grandparents' generation,0,0,0,0,1,0,0
3784,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
3787,1,To live in a better place,My parents' generation,0,0,0,0,1,0,0
3788,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
3790,1,Better jobs for kids,My parents' generation,0,0,0,0,1,0,0
3792,1,They wanted to live better and work for more,My grandparents' generation,0,0,0,0,1,0,0
3793,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
3797,1,For a Safe home where we don’t risk our lives being in jeopardy.,My parents' generation,0,0,0,0,1,0,0
3798,1,Because my mom had met my dad as an exchange student,My parents' generation,0,0,1,0,0,0,0
3801,1,Because they are from here stop asking dumb question,My grandparents' generation,0,0,1,0,-1,1,0
3802,1,My family came to the united states so they will be able to be better thank their own father and mothers and there's a lot more opportunities and jobs here,My parents' generation,0,0,1,0,1,0,0
3803,1,For better opportunities and a better life.,My parents' generation,0,0,0,0,1,0,0
3804,1,My family came to the United States to find shelter from the revolutionary war in Congo,My grandparents' generation,0,0,1,0,-1,0,0
3809,1,For a better future,My grandparents' generation,0,0,0,0,1,0,0
3812,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
3817,1,To purge,My generation,0,0,0,0,-1,0,0
3820,1,NA,My generation,na,na,NA,NA,NA,NA,NA
3821,1,for good standard of living,My grandparents' generation,0,0,0,0,1,0,0
3823,1,to give open more opportunities for us,My parents' generation,0,0,0,0,1,0,0
3825,1,My family escaped the tyrannical regime of the soviets,My parents' generation,0,0,1,0,-1,0,0
3826,1,To raise us different .,My great-grandparents' generation,0,0,0,0,0,0,0
3827,1,To find a job and to feed my family,My great-grandparents' generation,0,0,0,0,1,0,0
3828,1,"My dad came for college.
My mom came because she got married to him.",My parents' generation,0,0,1,0,0,0,0
3829,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
3830,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
3832,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
3835,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
3836,1,Be with family,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
3838,1,Khaki,My parents' generation,0,0,0,0,0,0,1
3839,1,hg,My grandparents' generation,0,0,0,0,0,0,1
1,0,immigrant,My great-grandparents' generation,0,0,0,0,0,0,0
2,0,job opportunity,My parents' generation,0,0,0,0,1,0,0
5,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
6,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
7,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
10,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
11,0,for work,My generation,0,0,0,0,0,0,0
12,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
15,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
18,0,Prosperity better life for family,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
19,0,religious freedom - escape death,My great-grandparents' generation,0,0,0,0,1,0,0
20,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
21,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
23,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
26,0,Born and raised here,My parents' generation,0,0,1,0,0,1,0
28,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
30,0,To escape religious persecution.,My great-great-grandparents' generation or earlier,0,0,0,0,-1,0,0
32,0,United States,My generation,0,0,0,0,0,0,0
35,0,More opportunities,My generation,0,0,0,0,1,0,0
37,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
38,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
39,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
41,0,One side left for the opportunity that agriculture offered.  The other left to try to escape poverty.,My great-grandparents' generation,0,0,1,0,1,0,0
42,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
44,0,Work and prosperity,My great-grandparents' generation,0,0,0,0,1,0,0
46,0,In search of a better life,My grandparents' generation,0,0,0,0,1,0,0
48,0,"For work - there was not enough work in Ireland, & my grandfather saw the opportunities available in the US",My grandparents' generation,0,0,1,0,1,0,0
49,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
50,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
51,0,"sorry, that's our won country.",My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
53,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
54,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
58,0,BETTER OPPORTUNITY,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
62,0,They were forced by being enslaved,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
64,0,THEY WERE BROUGHT HERE AGAINST THEIR WILL. THEY WERE KIDNAPPED,My great-great-grandparents' generation or earlier,0,0,1,1,-1,0,0
65,0,For work and better life,My parents' generation,0,0,0,0,1,0,0
66,0,We are jewish and came to USA as refugee,My generation,0,0,1,0,0,0,0
67,0,My dad came to further his education so that he could get a job in a field that wasn't as dangerous.  My mom came because she didn't want to continue being a second-class citizen.,My parents' generation,0,0,1,0,1,0,0
69,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
73,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
74,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
75,0,We were born here,My grandparents' generation,0,0,1,0,0,1,0
76,0,To see the New World,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
77,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
78,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
79,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
82,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
84,0,There were slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
85,0,To get a good chance for freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
86,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
87,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
90,0,Because they were enslaved,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
99,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
103,0,They were treated poorly and abused,My parents' generation,0,0,0,0,-1,0,0
104,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
107,0,To make a better a better life for their kids but they did it without help from the government,My great-great-grandparents' generation or earlier,1,0,0,0,1,0,0
116,0,They came here for a better life,My grandparents' generation,0,0,0,0,1,0,0
117,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
118,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
123,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
125,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
127,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
128,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
129,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
131,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
132,0,Vietnam war,My parents' generation,0,0,1,0,-1,0,0
134,0,For freedom,My great-grandparents' generation,0,0,0,0,1,0,0
135,0,This country is the way of life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
137,0,To seek a better way of life,My grandparents' generation,0,0,0,0,1,0,0
139,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
140,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
141,0,To find a better environment than where they came from.,My parents' generation,0,0,0,0,1,0,0
143,0,Better opportunities,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
147,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
149,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
153,0,To make a better life,My great-grandparents' generation,0,0,0,0,1,0,0
154,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
155,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
156,0,live the us,My parents' generation,0,0,0,0,0,0,0
157,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
159,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
160,0,NA,My generation,na,na,NA,NA,NA,NA,NA
161,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
163,0,Born,My generation,0,0,1,0,0,1,0
165,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
166,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
167,0,To have a better life,My grandparents' generation,0,0,0,0,1,0,0
170,0,2,My generation,0,0,0,0,0,0,1
175,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
176,0,I was born in Germany military alliance,My generation,0,0,1,0,0,0,0
177,0,Safety and jobs and freedom.,My great-grandparents' generation,0,0,0,0,1,0,0
179,0,so good,My generation,0,0,0,0,1,0,0
180,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
181,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
183,0,My great great greatgramdpa shot and killed a man had to get away,My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
184,0,Irish potato faminr,My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
186,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
187,0,We were brought here as slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
190,0,For a better life,My grandparents' generation,0,0,0,0,1,0,0
191,0,To run away to stay alive and not get killed by gang violence,My parents' generation,0,0,0,0,-1,0,0
192,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
194,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
195,0,To find better jobs,My grandparents' generation,0,0,0,0,1,0,0
200,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
202,0,Idk,My grandparents' generation,0,0,0,0,0,0,0
204,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
205,0,To find better jobs with a better pay. To provide a good home to me.,My parents' generation,0,0,0,0,1,0,0
206,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
207,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
208,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
211,0,Better life,My grandparents' generation,0,0,0,0,1,0,0
213,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
216,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
218,0,Various branches came for different reasons between 1730 and 1850. But all came to escape some sort of economic or religious persecution in Europe.,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
220,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
221,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
224,0,life,My grandparents' generation,0,0,0,0,0,0,0
225,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
226,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
230,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
236,0,Seeking economic advantage.,My great-grandparents' generation,0,0,0,0,1,0,0
239,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
241,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
242,0,None,My grandparents' generation,0,0,0,0,0,0,0
244,0,freedom and equal rights,My parents' generation,0,0,0,0,1,0,0
247,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
249,0,More money health,My great-grandparents' generation,0,0,0,0,1,0,0
250,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
257,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
260,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
263,0,My family is of Polish origin and had a terrible life in the Poland of the early 20th Century.  They were seeking economic opportunities and safety.,My grandparents' generation,0,0,1,0,1,0,0
264,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
265,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
266,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
268,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
270,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
271,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
272,0,"I am native American, my family has always been here",My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
276,0,They came for better opportunity and to own their own farms,My grandparents' generation,0,0,0,0,1,0,0
277,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
278,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
279,0,NA,My generation,na,na,NA,NA,NA,NA,NA
280,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
283,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
286,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
288,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
291,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
294,0,Not enough money.  They came for a better life.  Left behind family.,My grandparents' generation,0,0,1,0,1,0,0
295,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
296,0,Fleeing Stalin & mass murders,My grandparents' generation,0,0,1,0,-1,0,0
297,0,I goofed. It was great grandparents. And I think they came as refugees for asylum. I'm unclear between the definitions of refugee and asylum-seeker.,My grandparents' generation,0,0,1,0,0,0,0
298,0,To better themselves,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
299,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
302,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
303,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
305,0,for more religious freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
308,0,to get education and to work. and they did it legally,My grandparents' generation,1,0,0,0,1,0,0
309,0,mother married an American,My parents' generation,0,0,1,0,0,0,0
310,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
311,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
313,0,They were born here,My generation,0,0,1,0,0,1,0
315,0,Better life,My parents' generation,0,0,0,0,1,0,0
316,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
319,0,"My father had some family here and after he married my mom in France, decided to move here and live.",My generation,0,0,1,0,0,0,0
323,0,make an honest living,My generation,0,0,0,0,0,0,0
324,0,To bang girls,My grandparents' generation,0,0,0,0,0,0,0
326,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
327,0,Better lifestyle and work.  Escape from war and Hitler.,My great-grandparents' generation,0,0,1,0,1,0,0
330,0,NA,My generation,na,na,NA,NA,NA,NA,NA
331,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
332,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
336,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
338,0,BETTER LIFE,My parents' generation,0,0,0,0,1,0,0
341,0,I was born here,My grandparents' generation,0,0,1,0,0,1,0
343,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
344,0,Work,My grandparents' generation,0,0,0,0,0,0,0
346,0,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
349,0,Italian mafia ties,My grandparents' generation,0,0,1,0,0,0,0
352,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
353,0,They came as slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
354,0,Seeking work and a better way of life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
355,0,Jobs money taxes all was good back then,My generation,0,0,0,0,1,0,0
356,0,Born here,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
359,0,Freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
360,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
361,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
362,0,Freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
364,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
367,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
370,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
374,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
375,0,Better job opportunities,My grandparents' generation,0,0,0,0,1,0,0
376,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
378,0,for a better life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
379,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
380,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
381,0,My great granddad came over from Lebanon in 1910.,My great-grandparents' generation,0,0,1,0,0,0,0
384,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
385,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
387,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
389,0,United States of America back when it was called turtle island. Black people where always here.,My grandparents' generation,0,0,1,0,0,0,0
390,0,Escape communism,My grandparents' generation,0,0,0,0,-1,0,0
391,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
393,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
399,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
400,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
401,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
402,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
404,0,We was all born here,My grandparents' generation,0,0,1,0,0,1,0
405,0,They came for a better life. They suffered from religious persecution and came to the US.,My parents' generation,0,0,0,0,1,0,0
406,0,Communism,My great-grandparents' generation,0,0,0,0,0,0,0
411,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
416,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
417,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
418,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
419,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
420,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
421,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
423,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
425,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
427,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
428,0,They came for more freedom and economic opportunities.,My parents' generation,0,0,0,0,1,0,0
433,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
439,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
441,0,To escape communism,My parents' generation,0,0,0,0,-1,0,0
442,0,they wished to prosper economically,My grandparents' generation,0,0,0,0,1,0,0
444,0,NA,My generation,na,na,NA,NA,NA,NA,NA
446,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
450,0,dfger,My grandparents' generation,0,0,0,0,0,0,1
451,0,"For new opportunities. That's what they say, but ""free"" (stolen) land was probably the real reason.",My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
456,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
460,0,education,My parents' generation,0,0,0,0,0,0,0
461,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
463,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
465,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
468,0,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
470,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
473,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
474,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
476,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
477,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
482,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
483,0,"Same as most families
",My parents' generation,0,0,0,0,0,0,0
484,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
488,0,more opportunity,My grandparents' generation,0,0,0,0,1,0,0
489,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
491,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
493,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
496,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
502,0,My mother was from Italy and fell in love with an American sailor.  Since they wanted to be married that is why she moved here.,My parents' generation,0,0,1,0,0,0,0
505,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
507,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
508,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
509,0,for religious freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
510,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
511,0,warmer,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
512,0,Starving in ireland,My great-grandparents' generation,0,0,1,0,-1,0,0
514,0,for a better way of life-the American dream,My grandparents' generation,0,0,0,0,1,0,0
516,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
517,0,to escape the terror of Hitler,My great-grandparents' generation,0,0,1,0,-1,0,0
518,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
522,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
525,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
527,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
528,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
530,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
531,0,America was safer,My grandparents' generation,0,0,0,0,1,0,0
532,0,Idk,My grandparents' generation,0,0,0,0,0,0,0
534,0,to have a better life,My generation,0,0,0,0,1,0,0
535,0,forced out of Russia and Poland,My great-grandparents' generation,0,0,1,0,-1,0,0
536,0,They were already here,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
537,0,For a better life,My great-grandparents' generation,0,0,0,0,1,0,0
539,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
540,0,My great-grandfather came to grow oranges in California,My great-grandparents' generation,0,0,1,0,0,0,0
541,0,because their were being discrimanated  in their birth of their country,My grandparents' generation,0,0,1,0,-1,0,0
542,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
543,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
544,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
548,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
550,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
554,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
556,0,to have a better an safe life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
557,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
559,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
563,0,to have more quality education,My generation,0,0,0,0,1,0,0
564,0,We were brought to this country against our will,My great-great-grandparents' generation or earlier,0,0,1,1,-1,0,0
568,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
569,0,"They told my grandmother that in New York ,the streets were paved with gold",My grandparents' generation,0,0,1,0,0,0,0
571,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
573,0,To escape,My parents' generation,0,0,0,0,-1,0,0
577,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
579,0,They had a skill that they thought they could market in America,My great-grandparents' generation,0,0,0,0,1,0,0
580,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
581,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
583,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
586,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
587,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
588,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
593,0,"My ancestors were body guards for German politicians and aristocrats. When the ruling party fell out of favor, my ancestors moved to the United States.",My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
596,0,They faced economic hardship in their home country,My grandparents' generation,0,0,0,0,-1,0,0
597,0,Jobs,My grandparents' generation,0,0,0,0,0,0,0
599,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
602,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
603,0,escape anti semitism in Poland and escape poverty,My parents' generation,0,0,1,0,-1,0,0
604,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
605,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
606,0,For a better life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
615,0,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
616,0,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
617,0,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
618,0,WW !!,My parents' generation,0,0,0,0,-1,0,0
619,0,4,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,1
